"Order_ID","Customer_ID","Order_Date","Order_Total","Order_Status"
"O00001","C1268","2022-04-09","25471.50","Delivered"
"O00002","C1093","2025-04-05","6511.60","Refunded"
"O00003","C0087","2022-09-01","22794.08","Shipped"
"O00004","C1702","2022-02-01","748.63","Shipped"
"O00005","C3152","2022-05-08","799.00","Delivered"
"O00006","C1331","2023-08-25","10487.56","Delivered"
"O00007","C1019","2026-01-19","22089.70","Cancelled"
"O00008","C2135","2025-10-26","20384.41","Delivered"
"O00009","C0677","2025-06-12","1099.00","Cancelled"
"O00010","C2179","2022-11-13","1799.48","Delivered"
"O00011","C1125","2025-07-16","81365.15","Shipped"
"O00012","C0417","2024-08-05","15999.00","Shipped"
"O00013","C0679","2023-09-01","13998.00","Delivered"
"O00014","C1667","2022-03-19","71134.70","Delivered"
"O00015","C2939","2023-09-23","4098.00","Delivered"
"O00016","C3010","2023-06-21","356.23","Delivered"
"O00017","C3177","2023-05-29","65317.48","Returned"
"O00018","C2965","2024-05-10","4636.56","Processing"
"O00019","C1169","2025-10-12","1699.00","Delivered"
"O00020","C0190","2022-06-23","79296.57","Refunded"
"O00021","C1138","2025-08-07","7100.00","Delivered"
"O00022","C1260","2024-06-23","5057.56","Delivered"
"O00023","C3146","2023-12-28","58548.83","Delivered"
"O00024","C0536","2022-12-27","2225.10","Delivered"
"O00025","C3139","2024-09-04","86379.69","Returned"
"O00026","C1136","2022-07-04","51679.50","Shipped"
"O00027","C0093","2024-03-25","5181.00","Delivered"
"O00028","C0723","2024-06-20","33257.07","Delivered"
"O00029","C0191","2024-11-25","20076.64","Delivered"
"O00030","C1935","2025-08-12","84763.97","Returned"
"O00031","C2746","2025-06-29","25878.27","Delivered"
"O00032","C1849","2023-02-15","206325.64","Delivered"
"O00033","C1688","2023-03-13","2998.00","Returned"
"O00034","C2555","2025-02-03","510742.23","Delivered"
"O00035","C1895","2022-08-02","7486.22","Delivered"
"O00036","C1738","2025-08-27","85998.00","Processing"
"O00037","C3072","2023-06-21","15889.74","Delivered"
"O00038","C3148","2024-10-05","1300.00","Delivered"
"O00039","C1631","2025-04-04","6873.24","Delivered"
"O00040","C1705","2024-07-24","44182.48","Delivered"
"O00041","C0640","2023-04-21","1798.00","Delivered"
"O00042","C1719","2026-01-11","295260.40","Delivered"
"O00043","C1908","2024-08-05","161296.12","Delivered"
"O00044","C0853","2023-03-05","34009.45","Delivered"
"O00045","C1329","2022-05-04","54252.19","Delivered"
"O00046","C2647","2023-09-25","39829.88","Delivered"
"O00047","C0534","2023-09-16","99373.06","Delivered"
"O00048","C2315","2025-04-27","900.00","Shipped"
"O00049","C2078","2023-05-05","8458.84","Delivered"
"O00050","C1394","2025-01-05","283568.85","Cancelled"
"O00051","C0639","2024-03-21","180.00","Shipped"
"O00052","C2006","2025-06-01","61312.92","Delivered"
"O00053","C1340","2023-04-06","61888.83","Delivered"
"O00054","C1549","2024-04-19","8080.69","Delivered"
"O00055","C1710","2024-01-11","1295.08","Returned"
"O00056","C0306","2024-10-25","137577.68","Delivered"
"O00057","C1685","2022-09-25","4999.00","Delivered"
"O00058","C2033","2025-04-08","900.81","Delivered"
"O00059","C1139","2022-12-16","750.00","Delivered"
"O00060","C3136","2025-09-27","26405.49","Delivered"
"O00061","C0277","2024-07-25","118773.92","Delivered"
"O00062","C3014","2024-12-10","7887.54","Delivered"
"O00063","C0846","2025-11-05","73499.69","Returned"
"O00064","C2259","2024-02-23","31015.35","Shipped"
"O00065","C1269","2024-11-03","70344.39","Cancelled"
"O00066","C2749","2022-04-19","82180.47","Delivered"
"O00067","C2177","2025-08-05","1798.00","Delivered"
"O00068","C2210","2023-07-01","1287.74","Processing"
"O00069","C1911","2024-10-13","1598.00","Returned"
"O00070","C1344","2023-08-09","7200.00","Delivered"
"O00071","C1181","2022-12-28","68044.82","Delivered"
"O00072","C1616","2023-04-09","14932.92","Delivered"
"O00073","C0541","2025-09-15","259076.12","Delivered"
"O00074","C2339","2023-11-23","251897.91","Delivered"
"O00075","C2949","2023-07-26","9779.00","Delivered"
"O00076","C2258","2023-01-13","1899.00","Delivered"
"O00077","C0467","2025-03-16","1240.16","Delivered"
"O00078","C0216","2023-11-24","190.00","Shipped"
"O00079","C0627","2025-12-20","137570.01","Cancelled"
"O00080","C2606","2023-02-23","298500.30","Delivered"
"O00081","C1917","2025-02-02","76542.32","Delivered"
"O00082","C2993","2023-04-03","19000.00","Delivered"
"O00083","C2660","2022-11-04","58145.80","Processing"
"O00084","C2493","2022-02-08","21571.77","Processing"
"O00085","C1600","2024-03-08","13499.40","Delivered"
"O00086","C1107","2024-08-02","5296.00","Delivered"
"O00087","C1093","2025-04-23","1199.00","Delivered"
"O00088","C3079","2025-08-20","347615.38","Delivered"
"O00089","C2999","2025-02-03","9979.75","Delivered"
"O00090","C0251","2024-01-25","38999.00","Cancelled"
"O00091","C2295","2022-12-05","380897.02","Delivered"
"O00092","C0062","2022-05-20","5895.00","Delivered"
"O00093","C3032","2024-09-07","16881.06","Delivered"
"O00094","C0585","2022-12-06","170820.55","Cancelled"
"O00095","C1118","2025-11-07","1589.47","Delivered"
"O00096","C0542","2022-11-15","1281.24","Delivered"
"O00097","C3027","2023-03-29","51191.38","Delivered"
"O00098","C0537","2024-02-11","231332.75","Delivered"
"O00099","C2614","2023-11-24","2190.72","Shipped"
"O00100","C2096","2024-10-10","240.00","Processing"
"O00101","C2743","2023-07-31","3796.00","Delivered"
"O00102","C0012","2024-11-17","30.00","Delivered"
