"Payment_ID","Order_ID","Payment_Code","Payment_Method","Total_Amount","Payment_Status"
"P1","O00001","TX53199620","Net Banking","28528.08","Completed"
"P10","O00010","TX86885270","Card","1904.15","Completed"
"P100","O00100","TX50601422","UPI","252.00","Pending"
"P1000","O01000","TX79495820","UPI","676.33","Pending"
"P10000","O10000","TX15217047","Net Banking","41287.68","Pending"
"P10001","O10001","TX63315437","Net Banking","9746.24","Completed"
"P10002","O10002","TX47353841","UPI","52437.40","Completed"
"P10003","O10003","TX36723418","Card","100152.93","Completed"
"P10004","O10004","TX93974781","UPI","17112.97","Completed"
"P10005","O10005","TX7005222","Card","70867.48","Completed"
"P10006","O10006","TX23333056","Cash","21657.72","Completed"
"P10007","O10007","TX73863747","Card","1004.29","Completed"
"P10008","O10008","TX33229530","Card","3359.46","Completed"
"P10009","O10009","TX24992223","UPI","36877.45","Failed"
"P1001","O01001","TX39357328","UPI","1327.50","Completed"
"P10010","O10010","TX96176132","Card","11777.07","Completed"
"P10011","O10011","TX69766011","Card","2316.70","Completed"
"P10012","O10012","TX38433121","Card","542.97","Pending"
"P10013","O10013","TX68655653","UPI","50680.68","Refunded"
"P10014","O10014","TX13122157","Card","32089.19","Completed"
"P10015","O10015","TX46570874","UPI","53681.74","Completed"
"P10016","O10016","TX96140183","Card","17698.82","Refunded"
"P10017","O10017","TX92208129","Card","1004.29","Completed"
"P10018","O10018","TX78470979","Card","17988.76","Completed"
"P10019","O10019","TX29094478","UPI","6747.51","Pending"
"P1002","O01002","TX8768593","UPI","135017.68","Completed"
"P10020","O10020","TX75981596","UPI","1121.00","Completed"
"P10021","O10021","TX5698350","Net Banking","4025.28","Failed"
"P10022","O10022","TX49481614","UPI","2496.00","Completed"
"P10023","O10023","TX7827012","Card","73.50","Failed"
"P10024","O10024","TX65608863","UPI","107358.76","Completed"
"P10025","O10025","TX95476404","UPI","10745.28","Refunded"
"P10026","O10026","TX20193037","Card","4029.76","Completed"
"P10027","O10027","TX15080269","Card","15254.28","Completed"
"P10028","O10028","TX47657815","UPI","684.02","Completed"
"P10029","O10029","TX26272739","Cash","5463.75","Pending"
"P1003","O01003","TX26139670","UPI","110986.89","Refunded"
"P10030","O10030","TX5584947","Net Banking","5790.40","Completed"
"P10031","O10031","TX7194918","Card","2212.50","Refunded"
"P10032","O10032","TX25924716","UPI","683.29","Completed"
"P10033","O10033","TX94217526","UPI","4861.40","Refunded"
"P10034","O10034","TX81953160","UPI","11348.82","Completed"
"P10035","O10035","TX58706596","Card","2122.82","Completed"
"P10036","O10036","TX21717219","UPI","1008034.15","Completed"
"P10037","O10037","TX95928004","UPI","36457.85","Completed"
"P10038","O10038","TX48456281","Cash","63812.13","Completed"
"P10039","O10039","TX77983107","Card","12980.00","Failed"
"P1004","O01004","TX72054921","Net Banking","52692.05","Completed"
"P10040","O10040","TX90737290","UPI","2138.58","Completed"
"P10041","O10041","TX15217177","UPI","107170.59","Completed"
