"Order_Item_ID"	"Order_ID"	"Product_ID"	"Quantity"
"OI00001"	"O03269"	"P0440"	"1"
"OI00002"	"O08633"	"P0101"	"1"
"OI00003"	"O07583"	"P1162"	"4"
"OI00004"	"O02574"	"P0723"	"1"
"OI00005"	"O07814"	"P0565"	"1"
"OI00006"	"O07231"	"P1613"	"1"
"OI00007"	"O09665"	"P0573"	"2"
"OI00008"	"O06207"	"P1476"	"1"
"OI00009"	"O09936"	"P1179"	"1"
"OI00010"	"O02688"	"P0227"	"1"
"OI00011"	"O05294"	"P1358"	"3"
"OI00012"	"O02359"	"P0368"	"1"
"OI00013"	"O10330"	"P0671"	"2"
"OI00014"	"O06022"	"P0065"	"1"
"OI00015"	"O08407"	"P0545"	"1"
"OI00016"	"O10653"	"P0540"	"1"
"OI00017"	"O11193"	"P0960"	"4"
"OI00018"	"O07188"	"P0802"	"1"
"OI00019"	"O09373"	"P0615"	"1"
"OI00020"	"O10237"	"P1019"	"3"
"OI00021"	"O04245"	"P0932"	"1"
"OI00022"	"O03101"	"P1071"	"1"
"OI00023"	"O08861"	"P0668"	"1"
"OI00024"	"O08047"	"P1336"	"1"
"OI00025"	"O04056"	"P1121"	"2"
"OI00026"	"O01345"	"P1543"	"2"
"OI00027"	"O11125"	"P1155"	"2"
"OI00028"	"O07593"	"P0773"	"1"
"OI00029"	"O05980"	"P1213"	"1"
"OI00030"	"O03752"	"P1415"	"2"
"OI00031"	"O07022"	"P1239"	"1"
"OI00032"	"O00507"	"P0605"	"1"
"OI00033"	"O00460"	"P0035"	"3"
"OI00034"	"O09203"	"P1190"	"1"
"OI00035"	"O03749"	"P0983"	"2"
"OI00036"	"O04574"	"P1614"	"2"
"OI00037"	"O01936"	"P0265"	"1"
"OI00038"	"O03776"	"P0743"	"2"
"OI00039"	"O08247"	"P1323"	"4"
"OI00040"	"O08303"	"P1620"	"1"
"OI00041"	"O09940"	"P0105"	"2"
"OI00042"	"O02708"	"P1185"	"1"
"OI00043"	"O08715"	"P0654"	"2"
"OI00044"	"O07497"	"P1201"	"1"
"OI00045"	"O02407"	"P1062"	"1"
"OI00046"	"O04163"	"P1396"	"4"
"OI00047"	"O03095"	"P0095"	"3"
"OI00048"	"O02524"	"P1254"	"1"
"OI00049"	"O03529"	"P0996"	"1"
"OI00050"	"O01583"	"P0440"	"1"
"OI00051"	"O04361"	"P0273"	"3"
"OI00052"	"O00891"	"P0916"	"4"
"OI00053"	"O04473"	"P1031"	"1"
"OI00054"	"O10083"	"P0878"	"1"
"OI00055"	"O00886"	"P1101"	"2"
"OI00056"	"O07520"	"P0618"	"1"
"OI00057"	"O02131"	"P0122"	"3"
"OI00058"	"O10329"	"P0638"	"3"
"OI00059"	"O01793"	"P0406"	"2"
"OI00060"	"O00207"	"P1214"	"5"
"OI00061"	"O05414"	"P1006"	"1"
"OI00062"	"O06080"	"P1038"	"1"
"OI00063"	"O04620"	"P0756"	"4"
"OI00064"	"O03351"	"P0633"	"2"
"OI00065"	"O02388"	"P1406"	"8"
"OI00066"	"O00512"	"P0639"	"1"
"OI00067"	"O06675"	"P1215"	"1"
"OI00068"	"O09250"	"P1599"	"1"
"OI00069"	"O06628"	"P0235"	"1"
"OI00070"	"O08805"	"P1519"	"1"
"OI00071"	"O10254"	"P0375"	"1"
"OI00072"	"O06528"	"P1568"	"1"
"OI00073"	"O10371"	"P0598"	"1"
"OI00074"	"O02577"	"P1336"	"1"
"OI00075"	"O10434"	"P1441"	"1"
"OI00076"	"O10095"	"P0093"	"1"
"OI00077"	"O00509"	"P1335"	"1"
"OI00078"	"O00308"	"P0046"	"1"
"OI00079"	"O08290"	"P1388"	"1"
"OI00080"	"O08166"	"P1037"	"2"
"OI00081"	"O02296"	"P1552"	"1"
"OI00082"	"O08837"	"P1067"	"2"
"OI00083"	"O00733"	"P0749"	"1"
"OI00084"	"O06783"	"P0140"	"1"
"OI00085"	"O09591"	"P1051"	"2"
"OI00086"	"O08304"	"P0641"	"1"
"OI00087"	"O00348"	"P0627"	"3"
"OI00088"	"O01558"	"P1279"	"2"
"OI00089"	"O06647"	"P0692"	"2"
"OI00090"	"O03353"	"P0382"	"1"
"OI00091"	"O00595"	"P1190"	"1"
"OI00092"	"O05582"	"P1388"	"1"
"OI00093"	"O11422"	"P0418"	"3"
"OI00094"	"O00144"	"P0045"	"2"
"OI00095"	"O00558"	"P0422"	"2"
"OI00096"	"O10494"	"P1348"	"3"
"OI00097"	"O06061"	"P0712"	"1"
"OI00098"	"O10897"	"P1117"	"1"
"OI00099"	"O08497"	"P1405"	"3"
"OI00100"	"O02871"	"P0508"	"5"
"OI00101"	"O00271"	"P0603"	"2"
