"Product_ID"	"Category_ID"	"Product_Name"	"Manufacture_Date"	"Expiry_Date"	"Price"	"GST"	"Stock"	"Rating"
"P0001"	"CAT06"	"Adidas Kettlebell X100"	"2024-12-11"	\N	"32053.18"	"28"	"687"	"2.2"
"P0002"	"CAT04"	"Wakefit Water Bottle 1L"	"2024-12-26"	\N	"15504.57"	"5"	"1221"	"4.9"
"P0003"	"CAT09"	"Zingavita Omega 3 Fish Oil 1000mg"	"2026-02-05"	"2028-02-05"	"549.00"	"12"	"1200"	"4.2"
"P0004"	"CAT06"	"Spalding Weight Lifting Belt Advance"	"2024-03-09"	\N	"63507.50"	"5"	"239"	"2.9"
"P0005"	"CAT10"	"RAVPower 20000mAh PD"	"2025-10-05"	\N	"3200.00"	"18"	"610"	"4.4"
"P0006"	"CAT07"	"HarperCollins Lessons in Chemistry"	"2024-05-18"	\N	"699.00"	"12"	"580"	"4.6"
"P0007"	"CAT03"	"Pringles Muesli 500g"	"2025-11-14"	"2026-08-05"	"670.37"	"12"	"1442"	"2.9"
"P0008"	"CAT06"	"Fitkit Smart Fitness Band FK78"	"2024-04-18"	\N	"2999.00"	"18"	"160"	"4.2"
"P0009"	"CAT04"	"Prestige Coffee Table"	"2024-01-14"	\N	"41559.83"	"5"	"1436"	"2.8"
"P0010"	"CAT03"	"Coke Energy Drink 250ml"	"2025-11-07"	"2027-08-21"	"1001.88"	"12"	"1170"	"4.0"
"P0011"	"CAT07"	"Rupa Publications Train to Pakistan"	"2023-04-12"	\N	"295.00"	"12"	"210"	"4.5"
"P0012"	"CAT04"	"Bajaj Microwave Oven"	"2025-07-04"	\N	"31422.53"	"12"	"780"	"4.9"
"P0013"	"CAT03"	"Himalaya Neem Face Wash 150ml"	"2025-02-19"	"2027-02-19"	"140.00"	"18"	"460"	"4.3"
"P0014"	"CAT01"	"Canon X2269 Speaker"	"2023-06-28"	\N	"4777.67"	"12"	"695"	"3.9"
"P0015"	"CAT05"	"RE' EQUIL Fruit AHA Face Wash 200ml"	"2025-01-15"	"2027-01-15"	"450.00"	"18"	"710"	"4.5"
"P0016"	"CAT06"	"Reebok Hand Gripper Prime"	"2024-09-03"	\N	"66005.21"	"18"	"791"	"2.9"
"P0017"	"CAT02"	"SilkenStyle Men Formal Trousers"	"2025-05-24"	\N	"2987.71"	"28"	"1308"	"1.7"
"P0018"	"CAT05"	"Paco Rabanne 1 Million Eau De Toilette 100ml"	"2024-10-05"	"2029-10-05"	"7800.00"	"28"	"120"	"4.9"
"P0019"	"CAT01"	"Dell Neo9437 Microwave"	"2023-05-11"	\N	"8399.91"	"12"	"917"	"3.0"
"P0020"	"CAT05"	"Simple Water Boost Micellar Facial Gel Wash 150ml"	"2025-01-05"	"2027-01-05"	"425.00"	"18"	"540"	"4.7"
"P0021"	"CAT01"	"Xiaomi Z2359 Smartphone"	"2024-05-06"	\N	"18091.01"	"12"	"512"	"1.7"
"P0022"	"CAT01"	"Apple X2008 Keyboard"	"2024-01-25"	\N	"3122.87"	"12"	"302"	"1.0"
"P0023"	"CAT09"	"Nutrabay Pure Whey Protein Isolate"	"2026-02-15"	"2027-08-15"	"2199.00"	"18"	"680"	"4.4"
"P0024"	"CAT05"	"Aveeno Baby Soothing Relief Moisturizing Cream 226g"	"2025-01-10"	"2027-01-10"	"1050.00"	"18"	"340"	"4.8"
"P0025"	"CAT01"	"Acer Ultra4996 Mouse"	"2024-10-28"	\N	"9473.59"	"5"	"1300"	"1.1"
"P0026"	"CAT08"	"Melissa & Doug Shape Sorting Cube"	"2025-02-11"	\N	"1799.00"	"12"	"70"	"4.7"
"P0027"	"CAT05"	"The Man Company Beard Wax 50g"	"2025-01-12"	"2026-07-12"	"399.00"	"18"	"610"	"4.1"
"P0028"	"CAT06"	"Adidas Punching Bag Ultimate"	"2024-11-10"	\N	"63152.02"	"28"	"1279"	"4.4"
"P0029"	"CAT02"	"UrbanWeave Men Casual Hoodie"	"2025-01-25"	\N	"2499.00"	"5"	"150"	"4.5"
"P0030"	"CAT06"	"BoldFit Agility Ladder Stealth"	"2024-10-14"	\N	"32930.47"	"5"	"801"	"1.8"
"P0031"	"CAT09"	"Baidyanath Ashwagandha Churna"	"2026-02-10"	"2028-02-10"	"150.00"	"12"	"1500"	"4.5"
